file name,|['FA-min', 'FA-max', 'FA-mean', 'FA-std', 'trace-min', 'trace-max', 'trace-mean', 'trace-std', 'mode-min', 'mode-max', 'mode-mean', 'mode-std', 'Linear-min', 'Linear-max', 'Linear-mean', 'Linear-std', 'Planar-min', 'Planar-max', 'Planar-mean', 'Planar-std', 'Spherical-min', 'Spherical-max', 'Spherical-mean', 'Spherical-std', 'axial-min', 'axial-max', 'axial-mean', 'axial-std', 'radial-min', 'radial-max', 'radial-mean', 'radial-std']|
test1.vtk,|[59.365617266685646, 944.84324112294951, 457.45917081824723, 150.64796238127147, 1.1470000026747584, 5.2439999999478459, 2.3719457284123622, 0.37989314181435901, -979.22435443067275, 999.95572413628054, 675.71709340945461, 380.40677791830035, 32.076863496662838, 891.46511412733628, 454.43971283219651, 159.36809824807636, 2.3165753085930896, 498.97627330270092, 135.73982311972969, 79.880205645585121, 0.0, 898.17445797455605, 409.82046404807647, 146.52012638326434, 742.30952974409558, 2004.2648805773845, 1225.6116379666958, 187.97289951969725, 59.693353668803198, 1664.6104160879922, 573.17265100055988, 159.78908802216503]|
test2.vtk,|[0.0, 817.92824076319903, 434.85284630134095, 138.82204019342453, 0.0, 4.9139999318867922, 2.4999201527320474, 0.30174049742992048, -999.3873660178192, 999.98969703797309, 597.27389912078672, 430.44043697957807, 0.0, 818.42192914550151, 424.4722205850282, 157.98378470517846, 0.0, 501.1209142869555, 149.94121599243383, 89.103447066680957, 125.64789461756092, 1000.0, 425.58656342253664, 131.62642440086759, 0.0, 2024.6528763161109, 1266.3372648688874, 177.95222663041784, 0.0, 1503.7391084251597, 616.79144393157878, 136.25828543354191]|
